prov_name,province,psgc,pt_urb_2012,pt_urb_2015_old,pt_rur_2012,pt_rur_2015_old,pt_urb_2015_new,pt_urb_2018,pt_rur_2015_new,pt_rur_2018
Abra,100,140100,20805.7591320527,22364.9133948820,19774.8647911327,21240.2923863325,22458.0982385794,24896.7349276815,21294.1429185164,23579.7651439210
Agusan del Norte,200,160200,19662.6955408035,22282.8635910310,18750.4230978319,21265.8898323815,21126.3067449520,24607.6185020765,20136.4742947157,23387.3693255048
Agusan del Sur,300,160300,20340.4841678390,23794.1478644588,19382.3736814550,22707.1643607160,23839.7536875268,25496.4914793069,22753.1147071459,24404.6971215810
Aklan,400,060400,18598.4022744759,22553.1202689397,17706.8804284691,21386.6352680510,23416.9022912788,24843.4401976228,22184.0331805814,23572.3191608191
Albay,500,050500,19592.3757310855,23100.2787413559,18390.6631574968,21751.5805820536,23245.0236288128,26033.9395675211,21955.4632679364,24618.5020764714
Antique,600,060600,17907.3668338034,21309.7932944238,17159.9173891336,20366.1258659029,21573.5357296291,25063.5829872548,20610.0529858227,23947.7302019189
Basilan,700,150701,20145.4515934563,21601.0442868005,19324.8028292711,20617.1258868452,22484.2044966347,28201.7757410855,21418.0724616927,26669.7837605614
Bataan,800,030800,20107.3464127166,24981.6902342640,19023.0273521409,23630.3179992553,23127.4810253473,30192.2812544752,21847.2862666476,28528.7555491909
Batanes,900,020900,25777.3807445948,30428.7963612894,24692.5662000172,29118.3182171101,33036.9468709724,39688.8156952599,31421.8530717457,37418.5879994272
Batangas,1000,041000,20394.6864533795,22635.1214120088,19373.7386047716,21534.1913357124,31488.9114752731,34549.0476872404,29544.1787197480,32372.5868866905
Benguet,1100,141100,19902.2688950218,22254.0455391665,18969.5955124846,21268.7956465702,22493.7849062008,24913.7906343978,21473.3638837176,23768.6810826292
Bohol,1200,071200,19699.5847057139,21349.0290124587,18812.4588285837,20405.8111847859,23379.0368321515,27061.6133800587,22520.0841015724,26048.9317443162
Bukidnon,1300,101300,20824.3877989403,24581.9007836791,19924.5596448518,23507.1789939224,24743.6831431429,26339.9996822837,23660.1176926364,25208.3443194501
Bulacan,1400,031400,20325.2613489904,22527.9880587689,19177.2160962337,21310.2809824545,21573.2493197766,27689.3885149649,20435.3429757984,26356.8666762137
Cagayan,1500,021500,19424.2280331504,21982.0594493816,18725.9981679851,21085.8345826837,22392.8111127023,25835.0279249606,21436.4886152084,24620.9365602177
Camarines Norte,1600,051600,19020.4321236870,22891.0629516905,18254.5590619504,22030.1505027409,24745.5248460547,25799.7995131033,23778.7483889446,24787.3406845195
Camarines Sur,1700,051700,19481.0115662558,23006.7657008436,18685.3210455105,22105.9446482028,23512.5304310468,24950.1646856652,22750.8234283259,24136.3310897895
