,urban_2012,urban_2015,rural_2012,rural_2015,,,,,,,,,
NCR District 1,20343.9500532828,25006.5034230556,0.0000000000,0.0000000000,,,,,,,,,
NCR District 2,20343.9500532828,25006.5034230556,0.0000000000,0.0000000000,,,,,,,,,
NCR District 3,20343.9500532828,25006.5034230556,0.0000000000,0.0000000000,,,,,,,,,
NCR District 4,20343.9500532828,25006.5034230556,0.0000000000,0.0000000000,,,,,,,,,
Abra,20805.7591320527,22364.9133948820,19774.8647911327,21240.2923863325,,,,,,,,,
Apayao,19592.9757420410,22014.0631917079,18623.1070515251,20946.9826336188,,,,,,,,,
Benguet,19902.2688950218,22254.0455391665,18969.5955124846,21268.7956465702,,,,,,,,,
Ifugao,21028.8792534944,23536.5951349199,20253.0326731319,22672.5234479622,,,,,,,,,
Kalinga,17990.8814922678,21377.2041928767,17172.7105119061,20327.7457400888,,,,,,,,,
Mt Province,22270.8627548969,25326.5358601489,21137.9154534613,23534.5634793527,,,,,,,,,
Ilocos Norte,19723.5136579325,21481.6124874696,18952.9223553888,20614.6355434627,,,,,,,,,
Ilocos Sur,21611.7799245856,23374.8174243951,20885.2502717571,22534.8107113619,,,,,,,,,
La Union,18782.3578840860,19876.1850207647,17976.4632193155,19023.0273521409,,,,,,,,,
Pangasinan,18710.5408804447,21327.2635651947,17835.0833415552,20346.1527968609,,,,,,,,,
Batanes,25777.3807445948,30428.7963612894,24692.5662000172,29118.3182171101,,,,,,,,,
Cagayan,19424.2280331504,21982.0594493816,18725.9981679851,21085.8345826837,,,,,,,,,
Isabela,20242.9200753560,24130.2002006302,19226.2726531061,22423.9507340226,,,,,,,,,
Nueva Vizcaya,19648.9280584702,23360.1081674539,18674.3735296807,22123.3074721581,,,,,,,,,
Quirino,19937.3251769243,22007.4159472081,19014.2101450036,20940.5626917027,,,,,,,,,
Aurora,19535.1997708721,21619.3367699631,18465.9601890305,20457.8668178605,,,,,,,,,
Bataan,20107.3464127166,24981.6902342640,19023.0273521409,23630.3179992553,,,,,,,,,
