,urban_2015,urban_2018,rural_2015,rural_2018
NCR District 1,25187.9578977517,28682.2740942288,,
NCR District 2,25187.9578977517,28682.2740942288,,
NCR District 3,25187.9578977517,28682.2740942288,,
NCR District 4,25187.9578977517,28682.2740942288,,
Abra,22458.0982385794,24896.7349276815,21294.1429185164,23579.7651439210
Apayao,24600.9021910354,24374.2660747530,23310.4396391236,23134.7987970786
Benguet,22493.7849062008,24913.7906343978,21473.3638837176,23768.6810826292
Ifugao,26040.5985965917,27391.1212945725,25132.9228125448,26416.7263353859
Kalinga,22276.8294429328,25358.7283402549,21228.8128311614,24146.8136903910
Mt Province,25805.4704281827,29148.3746240871,24480.8248603752,27624.4164399255
Ilocos Norte,24627.8551901349,27976.1996565150,23505.2098836603,26669.4834067192
Ilocos Sur,24701.9494570089,25613.2562343030,23555.4696015810,24377.8080461922
La Union,22781.1844924760,23389.4928672068,21849.6000329943,22412.5364434541
Pangasinan,23792.6204243136,29190.8583637969,22562.5428512445,27601.7647456050
Batanes,33036.9468709724,39688.8156952599,31421.8530717457,37418.5879994272
Cagayan,22392.8111127023,25835.0279249606,21436.4886152084,24620.9365602177
Isabela,24498.6395532006,26742.2311327510,23212.2297007017,25227.9822425891
Nueva Vizcaya,24272.9485894315,25994.8446226550,23042.2454532436,24682.0850637262
Quirino,22756.4084204497,24823.2851210082,21602.4631247315,23497.4939137906
Aurora,23833.3810683087,26409.0075898611,22665.1296004583,25100.3723328082
Bataan,23127.4810253473,30192.2812544752,21847.2862666476,28528.7555491909
Bulacan,21573.2493197766,27689.3885149649,20435.3429757984,26356.8666762137
Nueva Ecija,23966.5616497207,26641.3432622082,22748.8758413289,25258.8858656738
Pampanga,22233.7677216096,27085.9802377202,21007.0313618788,25722.0392381498
Tarlac,23241.8731204353,26009.7379349850,22113.5615065158,24760.5613633109
Zambales,27815.4088500644,30699.5560647286,26361.0196190749,29018.7598453387
Batangas,31488.9114752731,34549.0476872404,29544.1787197480,32372.5868866905
Cavite,27650.0406604720,29541.5533051667,26826.1500761965,28686.7565677101
Laguna,21682.7958301383,24193.6616328986,20620.0091651153,22948.1266090105
Quezon,21670.8176283597,23590.0340098508,20775.7459106516,22585.2449251955
Rizal,25536.6347216281,28647.4183118357,24193.5954713332,27088.4664668824
Marinduque,21001.8489904053,25339.4213088930,19951.2816840899,24041.8831447802
Occidental Mindoro,20839.7032793928,21961.1340398110,19800.7876270944,20859.3340970929
Oriental Mindoro,21206.6024201633,25388.6429901189,20114.8217098668,24033.1977660032
Palawan,20572.2679220965,24281.9394243162,19552.2841185737,23143.8235715309
Romblon,22989.0233567235,25307.2284118574,21842.5461835887,24036.2995847057
Albay,23245.0236288128,26033.9395675211,21955.4632679364,24618.5020764714
Camarines Norte,24745.5248460547,25799.7995131033,23778.7483889446,24787.3406845195
Camarines Sur,23512.5304310468,24950.1646856652,22750.8234283259,24136.3310897895
Catanduanes,22788.0567091508,25699.5560647286,21667.7645711012,24365.7453816411
Masbate,21512.6736359731,24029.0706000286,20406.1291708435,22875.1253043105
Sorsogon,24359.3011599599,27544.0355148217,23064.7286266648,25956.6089073464
Aklan,23416.9022912788,24843.4401976228,22184.0331805814,23572.3191608191
Antique,21573.5357296291,25063.5829872548,20610.0529858227,23947.7302019189
Capiz,21592.6216525848,23650.9220965201,20699.5964485178,22623.4394959187
Guimaras,24649.5775454676,27341.6869540312,23326.5072318488,25854.6613203494
Iloilo,23890.3050264929,27357.2962909924,22730.7747386510,26011.5279965631
Negros Occidental,21908.9216669053,24029.5002148074,21163.8264356294,23182.5862809681
Bohol,23379.0368321515,27061.6133800587,22520.0841015724,26048.9317443162
Cebu,23642.6827461156,26575.5873867888,22651.9667198167,25401.1439874896
Negros Oriental,22806.6932493748,25953.0787815949,21674.2066535529,24735.9902252212
Siquijor,22371.5303344952,26829.6077609248,21380.2561578233,25625.9423934011
Biliran,22482.2976199474,25427.5927460616,21372.3959219820,24155.9811852098
Eastern Samar,26294.2325342283,29915.7802327650,25358.2135158413,29069.7388203351
Leyte,22281.7393056702,24401.4364858128,21368.1599686553,23469.9468100702
Northern Samar,23550.1099230063,26989.3113895005,22608.8315516426,25893.4889963397
Southern Leyte,25123.1674478211,26965.3969311726,23931.5600179178,25674.3947814749
Western Samar,21876.5913615407,23891.9824588203,21237.3190286353,23057.5900809623
Zamboanga del Norte,25507.2891307461,29723.0559931262,24206.3296577402,28222.7695832737
Zamboanga del Sur,21238.1497923529,24847.7731633968,20250.7518258628,23684.6627523987
Zamboanga Sibugay,22195.4583416870,23942.5088500644,21293.7634970643,22990.5488901618
City of Isabela,23641.0282113705,26982.3857940713,22448.0452527567,25411.7571244451
Bukidnon,24743.6831431429,26339.9996822837,23660.1176926364,25208.3443194501
Camiguin,24555.9849868243,26736.4790614416,23654.3822822741,25718.1053285293
Lanao del Norte,23132.5008199609,25261.5155807991,22155.4749280710,24240.2229138422
Misamis Occidental,22895.1141815028,25394.0000935088,21939.4134429787,24327.5502037291
Misamis Oriental,22564.4617005695,24533.9349622022,21703.4449373393,23598.1325044709
Davao del Norte,24335.2245031083,27454.0909653321,23474.3931594329,26537.6318353945
Davao del Sur,23964.9915018363,26310.8424150432,22772.3914365745,25062.9265084691
Davao Oriental,23671.6480095929,27117.1644123139,22561.0704081111,25932.8638303537
Compostela Valley,22609.1823651769,26451.9083389429,21801.2694242818,25317.9302498983
Davao Occidental,,26310.8424150432,,25062.9265084691
North Cotabato,21980.8726478591,25875.1835887155,21041.6153515681,24846.9626235142
Sarangani,20700.7017041386,23703.5658026636,19839.8968924531,22762.8526421309
South Cotabato,21740.7990834885,25542.0306458542,20992.5533438350,24691.9662036374
Sultan Kudarat,21918.6596018903,24509.5231275956,21016.0389517399,23624.6598883002
Cotabato City,25738.5801374767,30542.8751253043,24549.3383932407,29053.7677216096
Agusan del Norte,21126.3067449520,24607.6185020765,20136.4742947157,23387.3693255048
Agusan del Sur,23839.7536875268,25496.4914793069,22753.1147071459,24404.6971215810
Surigao Del Norte,25812.1151367607,29583.1304596878,24411.2845481885,27978.8056709151
Surigao Del Sur,23734.9276815122,25766.1463554346,22675.4976371187,24656.5945868538
Dinagat Islands,25677.7889159387,27809.8238579407,24257.1960475440,26316.3396820851
Basilan,22484.2044966347,28201.7757410855,21418.0724616927,26669.7837605614
Lanao del Sur,25240.9995703852,30407.2748102535,24354.7186023199,29186.4957754547
Maguindanao,21143.8493484176,26208.9932693685,20193.7419447229,24939.1665473292
Sulu,23910.6544465130,30111.7141629672,22859.0433910927,28650.0930832021
Tawi-tawi,18435.5864241730,22035.3859372762,17598.9975655163,20994.8732636403
